,type_ids,parent_id,scientific_name,en_name,en_wikipedia_url
1772,2618,2194.0,Malus x 'Spring Snow',Spring snow crabapple,
1773,2619,,Nyssa ogeche,Ogeechee tupelo,https://en.wikipedia.org/wiki/Nyssa_ogeche
1774,2620,,Ostrya virginiana,American hophornbeam,https://en.wikipedia.org/wiki/Ostrya_virginiana
1775,2621,,Parrotia persica,Persian ironwood,https://en.wikipedia.org/wiki/Parrotia_persica
1776,2622,,Paulownia,Paulownia,https://en.wikipedia.org/wiki/Paulownia
1777,2623,2306.0,Picea glauca var. densata,Black Hills white spruce,https://en.wikipedia.org/wiki/Picea_glauca
1778,2624,992.0,Pinus densiflora var. umbraculifera,Japanese umbrella pine,
1779,2625,569.0,Pinus brutia,Turkish pine,https://en.wikipedia.org/wiki/Pinus_brutia
1780,2626,569.0,Pinus thunbergii,Japanese black pine,https://en.wikipedia.org/wiki/Pinus_thunbergii
1781,2627,2404.0,Platanus orientalis,Oriental plane,https://en.wikipedia.org/wiki/Platanus_orientalis
1782,2628,1544.0,Populus fremontii,Fremont's cottonwood,https://en.wikipedia.org/wiki/Populus_fremontii
1783,2629,1841.0,Populus,Hybrid cottonwood,
1784,2630,285.0,Prunus glandulosa,Chinese bush cherry,https://en.wikipedia.org/wiki/Prunus_glandulosa
1785,2631,72.0,Quercus dentata,Japanese emperor oak,https://en.wikipedia.org/wiki/Quercus_dentata
1786,2632,72.0,Quercus ellipsoidalis,Northern pin oak,https://en.wikipedia.org/wiki/Quercus_ellipsoidalis
1787,2633,72.0,Quercus x mazei,Colorado foothills oak,
1788,2634,72.0,Quercus robur x macrocarpa,Heritage oak,
1789,2635,72.0,Quercus x schuettei,Schuette oak,
1790,2636,72.0,Quercus undulata,Wavyleaf oak,
1791,2637,72.0,Quercus x warei,Warei oak,https://en.wikipedia.org/wiki/Quercus_%C3%97_warei
1792,2638,872.0,Salix amygdaloides,Peachleaf willow,https://en.wikipedia.org/wiki/Salix_amygdaloides
1793,2639,,Sequoiadendron giganteum,Giant sequoia,https://en.wikipedia.org/wiki/Sequoiadendron_giganteum
1794,2640,,Shepherdia argentea,Silver buffaloberry,https://en.wikipedia.org/wiki/Shepherdia_argentea
1795,2641,,Styrax japonicus,Japanese snowbell,
1796,2642,1802.0,Syringa pekinensis,Peking lilac,
1797,2644,164.0,Ulmus 'Morton Glossy',Morton glossy elm,https://en.wikipedia.org/wiki/Ulmus_%27Morton_Glossy%27_Triumph
1798,2645,164.0,Ulmus,Hybrid elm,
1799,2646,1798.0,Ulmus davidiana var. japonica,Japanese elm,https://en.wikipedia.org/wiki/Ulmus_davidiana_var._japonica
1800,2647,164.0,Ulmus thomasii,Rock elm,https://en.wikipedia.org/wiki/Ulmus_thomasii
1801,2649,,Zelkova,Zelkova,https://en.wikipedia.org/wiki/Zelkova
1802,2654,2017.0,Abies pinsapo,Spanish fir,https://en.wikipedia.org/wiki/Abies_pinsapo
1803,2655,175.0,Acer capillipes,Kyushu maple,https://en.wikipedia.org/wiki/Acer_capillipes
1804,2656,175.0,Acer monspessulanum,Montpelier maple,https://en.wikipedia.org/wiki/Acer_monspessulanum
1805,2657,175.0,Acer opalus,Italian maple,https://en.wikipedia.org/wiki/Acer_opalus
1806,2658,175.0,Acer velutinum,Velvet maple,https://en.wikipedia.org/wiki/Acer_velutinum
1807,2659,175.0,Acer x zoeschense,Zoeschen maple,https://en.wikipedia.org/wiki/Acer_%C3%97_zoeschense
1808,2660,1044.0,Aesculus x hybrida,Hybrid buckeye,
1809,2661,2375.0,Alnus cordata,Italian alder,https://en.wikipedia.org/wiki/Alnus_cordata
1810,2662,2375.0,Alnus x spaethii,Spaeth's alder,
1811,2663,524.0,Betula albosinensis,Chinese red birch,https://en.wikipedia.org/wiki/Betula_albosinensis
1812,2664,2607.0,Cupressus nootkatensis,Nootka cypress,https://en.wikipedia.org/wiki/Cupressus_nootkatensis
1813,2666,277.0,Cornus controversa,Giant dogwood,https://en.wikipedia.org/wiki/Cornus_controversa
1814,2667,172.0,Crataegus coccinioides,Kansas hawthorn,https://en.wikipedia.org/wiki/Crataegus_coccinioides
1815,2668,,Davidia involucrata,Dove-tree,https://en.wikipedia.org/wiki/Davidia_involucrata
1816,2669,664.0,Ilex pernyi,Perny holly,https://en.wikipedia.org/wiki/Ilex_pernyi
1817,2670,73.0,Juglans mandshurica,Manchurian walnut,https://en.wikipedia.org/wiki/Juglans_mandshurica
1818,2671,,Nothofagus antarctica,Antarctic beech,https://en.wikipedia.org/wiki/Nothofagus_antarctica
1819,2672,,Ostrya carpinifolia,European hop-hornbeam,https://en.wikipedia.org/wiki/Ostrya_carpinifolia
1820,2673,2311.0,Pinus nigra subsp. nigra,Black pine,
1821,2674,,Prunus,Flowering cherry,
1822,2675,2417.0,Pterocarya stenoptera,Chinese wingnut,https://en.wikipedia.org/wiki/Pterocarya_stenoptera
1823,2676,72.0,Quercus macranthera,Caucasian oak,https://en.wikipedia.org/wiki/Quercus_macranthera
1824,2677,683.0,Sorbus decora,Northern mountain ash,https://en.wikipedia.org/wiki/Sorbus_decora
1825,2678,683.0,Sorbus x hybrida,Oakleaf mountain ash,https://en.wikipedia.org/wiki/Sorbus_%C3%97_hybrida
1826,2679,163.0,Tilia dasystyla,Linden,https://en.wikipedia.org/wiki/Tilia_dasystyla
